Date,Series,Value
2020-05-18,Total Monitored Articles,435546
2020-05-19,Article Count,12
2020-05-19,Total Monitored Articles,487475
2020-05-20,Article Count,6
2020-05-20,Total Monitored Articles,497600
2020-05-21,Article Count,5
2020-05-21,Total Monitored Articles,461285
2020-05-22,Article Count,2
2020-05-22,Total Monitored Articles,444681
2020-05-23,Article Count,0
2020-05-23,Total Monitored Articles,282782
2020-05-24,Article Count,0
2020-05-24,Total Monitored Articles,251831
2020-05-25,Article Count,6
2020-05-25,Total Monitored Articles,373645
2020-05-26,Article Count,1
2020-05-26,Total Monitored Articles,449894
2020-05-27,Article Count,3
2020-05-27,Total Monitored Articles,486726
2020-05-28,Article Count,1
2020-05-28,Total Monitored Articles,501271
2020-05-29,Article Count,2
2020-05-29,Total Monitored Articles,474432
2020-05-30,Article Count,1
2020-05-30,Total Monitored Articles,299101
2020-05-31,Article Count,0
2020-05-31,Total Monitored Articles,270905
2020-06-01,Article Count,0
2020-06-01,Total Monitored Articles,433839
2020-06-02,Article Count,1
2020-06-02,Total Monitored Articles,471823
2020-06-03,Article Count,0
2020-06-03,Total Monitored Articles,486796
2020-06-04,Article Count,4
2020-06-04,Total Monitored Articles,479129
2020-06-05,Article Count,4
2020-06-05,Total Monitored Articles,464145
2020-06-06,Article Count,4
2020-06-06,Total Monitored Articles,291667
2020-06-07,Article Count,1
2020-06-07,Total Monitored Articles,264279
2020-06-08,Article Count,1
2020-06-08,Total Monitored Articles,436728
2020-06-09,Article Count,5
2020-06-09,Total Monitored Articles,479708
2020-06-10,Article Count,3
2020-06-10,Total Monitored Articles,486910
2020-06-11,Article Count,3
2020-06-11,Total Monitored Articles,468401
2020-06-12,Article Count,1
2020-06-12,Total Monitored Articles,452304
2020-06-13,Article Count,0
2020-06-13,Total Monitored Articles,289242
2020-06-14,Article Count,1
